time,gFx,gFy,gFz,TgF
4.015000,-0.0402,0.9617,0.2415,0.992
4.032000,-0.0403,0.9622,0.2419,0.993
4.035000,-0.0413,0.9622,0.2427,0.993
4.045000,-0.0441,0.9621,0.2431,0.993
4.055000,-0.0493,0.9631,0.2436,0.995
4.080000,-0.0545,0.9631,0.2455,0.995
4.082000,-0.0573,0.9626,0.2486,0.996
4.085000,-0.0562,0.9628,0.2492,0.996
4.118000,-0.0503,0.9626,0.2455,0.995
4.125000,-0.0461,0.9624,0.2409,0.993
4.126000,-0.0461,0.9627,0.2397,0.993
4.127000,-0.0473,0.9623,0.2415,0.993
4.135000,-0.0484,0.9623,0.2450,0.994
4.145000,-0.0502,0.9629,0.2472,0.995
4.155000,-0.0523,0.9631,0.2469,0.996
4.171000,-0.0542,0.9631,0.2447,0.995
4.174000,-0.0534,0.9629,0.2417,0.994
4.184000,-0.0503,0.9624,0.2394,0.993
4.196000,-0.0483,0.9622,0.2371,0.992
4.204000,-0.0485,0.9618,0.2366,0.992
4.215000,-0.0502,0.9617,0.2384,0.992
4.225000,-0.0509,0.9618,0.2447,0.994
4.234000,-0.0514,0.9626,0.2509,0.996
4.245000,-0.0534,0.9622,0.2535,0.996
4.254000,-0.0568,0.9613,0.2524,0.996
4.271000,-0.0575,0.9609,0.2482,0.994
4.274000,-0.0525,0.9610,0.2439,0.993
4.284000,-0.0474,0.9613,0.2413,0.992
4.294000,-0.0441,0.9613,0.2400,0.992
4.304000,-0.0434,0.9611,0.2397,0.991
4.314000,-0.0448,0.9613,0.2398,0.992
4.325000,-0.0473,0.9606,0.2397,0.991
4.335000,-0.0503,0.9596,0.2373,0.990
4.345000,-0.0526,0.9600,0.2344,0.990
4.355000,-0.0525,0.9609,0.2331,0.990
4.371000,-0.0484,0.9613,0.2331,0.990
4.379000,-0.0442,0.9627,0.2328,0.991
4.385000,-0.0409,0.9639,0.2338,0.993
4.406000,-0.0385,0.9650,0.2339,0.994
4.416000,-0.0375,0.9661,0.2343,0.995
4.417000,-0.0406,0.9681,0.2377,0.998
4.428000,-0.0462,0.9689,0.2428,1.000
4.435000,-0.0520,0.9679,0.2459,1.000
4.446000,-0.0572,0.9676,0.2472,1.000
4.455000,-0.0584,0.9671,0.2464,1.000
4.482000,-0.0533,0.9657,0.2427,0.997
4.485000,-0.0463,0.9657,0.2378,0.996
4.486000,-0.0431,0.9660,0.2349,0.995
4.518000,-0.0426,0.9660,0.2360,0.995
4.531000,-0.0448,0.9659,0.2410,0.996
4.532000,-0.0496,0.9661,0.2475,0.999
4.534000,-0.0551,0.9659,0.2518,1.000
4.535000,-0.0572,0.9648,0.2526,0.999
4.547000,-0.0555,0.9637,0.2509,0.997
4.555000,-0.0490,0.9633,0.2466,0.996
4.583000,-0.0426,0.9629,0.2411,0.994
4.586000,-0.0404,0.9629,0.2372,0.993
4.587000,-0.0425,0.9628,0.2366,0.992
4.596000,-0.0475,0.9621,0.2391,0.992
4.605000,-0.0523,0.9616,0.2435,0.993
4.616000,-0.0547,0.9622,0.2460,0.995
